memory,directory,type
0xFEBE5607,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarkerConf.confTjaLongTerm,
0xFEBE5608,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarkerConf.tuneConfidence,
0xFEBE560C,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarkerType,
0xFEBE5610,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarkerColor,
0xFEBE5548,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.a0,float32
0xFEBE554C,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.a1,float32
0xFEBE5550,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.a2,float32
0xFEBE5554,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.a3,float32
0xFEBE5558,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.range,float32
0xFEBE555C,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.status,1
0xFEBE555D,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.asilCounterCheck,1
0xFEBE555E,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarker.asilCrcCheck,1
0xFEBE5560,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarkerConf.confDIMON,1
0xFEBE5561,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarkerConf.confLKA,confLKA
0xFEBE5562,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarkerConf.confTjaPrimary,1
0xFEBE5563,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarkerConf.confTjaLongTerm,
0xFEBE5564,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarkerConf.tuneConfidence,
0xFEBE5568,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarkerType,
0xFEBE556C,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostLeftIndividualMarker.laneMarkerColor,
